,occupation_field,occupation_name,non-college count,wage/salary
0,MGR,General And Operations Managers,9557,58534.81
1,MGR,Advertising And Promotions Managers,179,43246.37
2,MGR,Marketing And Sales Managers,4459,55627.48
3,MGR,Public Relations And Fundraising Managers,114,50107.89
4,MGR,Administrative Services Managers,1746,47476.61
5,MGR,Computer And Information Systems Managers,1510,70204.22
6,MGR,Financial Managers,7638,46047.92
7,MGR,Compensation And Benefits Managers,83,51431.33
8,MGR,Human Resources Managers,3722,42731.57
9,MGR,Training And Development Managers,355,38512.56
10,MGR,Industrial Production Managers,3352,55511.78
11,MGR,Purchasing Managers,1356,51590.5
12,MGR,"Transportation, Storage, And Distribution Managers",4213,41927.65
13,MGR,"Farmers, Ranchers, And Other Agricultural Managers",22236,15398.15
14,MGR,Construction Managers,11231,45538.77
15,MGR,Education Administrators,3457,30967.01
16,MGR,Architectural And Engineering Managers,405,75327.16
17,MGR,Food Service Managers,17092,27282.47
18,MGR,Gaming Managers,347,36656.77
19,MGR,Lodging Managers,1801,29985.59
20,MGR,Medical And Health Services Managers,3569,40288.73
21,MGR,Natural Sciences Managers,22,39068.18
22,MGR,"Property, Real Estate, And Community Association",7460,34364.28
23,MGR,Social And Community Service Managers,2126,29674.21
24,MGR,Emergency Management Directors,44,41559.09
25,MGR,"Miscellaneous Managers, Including Funeral Service",39810,44991.22
26,BUS,"Agents And Business Managers Of Artists, Performers,",418,27741.79
27,BUS,"Buyers And Purchasing Agents, Farm Products",198,34574.19
28,BUS,"Wholesale And Retail Buyers, Except Farm Products",3563,25445.36
29,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",3355,39192.76
30,BUS,"Claims Adjusters, Appraisers, Examiners, And",2871,40161.06
31,BUS,Compliance Officers,1573,41792.26
32,BUS,Cost Estimators,1958,49619.69
33,BUS,Human Resources Workers,5188,40001.56
34,BUS,"Compensation, Benefits, And Job Analysis Specialists",420,40065.79
35,BUS,Training And Development Specialists,1159,36697.98
36,BUS,Logisticians,1321,39970.7
37,BUS,Management Analysts,2893,44775.12
38,BUS,"Meeting, Convention, And Event Planners",949,23454.97
39,BUS,Fundraisers,397,16586.22
40,BUS,Market Research Analysts And Marketing Specialists,954,33986.23
41,BUS,"Business Operations Specialists, All Other",2080,37145.06
42,FIN,Accountants And Auditors,5568,31831.05
43,FIN,Appraisers And Assessors Of Real Estate,727,28663.34
44,FIN,Budget Analysts,189,52746.56
45,FIN,Credit Analysts,160,37765.62
46,FIN,Financial Analysts,321,50694.95
47,FIN,Personal Financial Advisors,883,56662.13
48,FIN,Insurance Underwriters,944,44635.48
49,FIN,Financial Examiners,52,36725.0
50,FIN,Credit Counselors And Loan Officers,2580,45298.78
51,FIN,"Tax Examiners And Collectors, And Revenue Agents",692,30400.62
52,FIN,Tax Preparers,1377,13596.3
53,FIN,"Financial Specialists, All Other",424,36750.05
54,CMM,Computer And Information Research Scientists,39,31848.72
55,CMM,Computer Systems Analysts,1511,49608.9
56,CMM,Information Security Analysts,204,65753.43
57,CMM,Computer Programmers,1478,44330.2
58,CMM,"Software Developers, Applications And Systems Software",1888,62248.89
59,CMM,Web Developers,780,25384.27
60,CMM,Computer Support Specialists,4066,39642.98
61,CMM,Database Administrators,449,42208.62
62,CMM,Network And Computer Systems Administrators,1022,51047.71
63,CMM,Computer Network Architects,319,81570.85
64,CMM,"Computer Occupations, All Other",3115,44845.06
65,CMM,Operations Research Analysts,503,55427.34
66,CMM,"Miscellaneous Mathematical Science Occupations,",9,31055.56
67,ENG,"Architects, Except Naval",228,34658.46
68,ENG,"Surveyors, Cartographers, And Photogrammetrists",70,48637.14
69,ENG,Aerospace Engineers,219,57586.03
70,ENG,Biomedical And Agricultural Engineers,27,35762.96
71,ENG,Chemical Engineers,117,53744.44
72,ENG,Civil Engineers,754,51445.57
73,ENG,Computer Hardware Engineers,127,57784.8
74,ENG,Electrical And Electronics Engineers,519,57894.99
75,ENG,Environmental Engineers,79,33995.7
76,ENG,"Industrial Engineers, Including Health And Safety",939,50611.47
77,ENG,Marine Engineers And Naval Architects,95,59510.53
78,ENG,Materials Engineers,123,57164.63
79,ENG,Mechanical Engineers,699,54541.75
80,ENG,"Petroleum, Mining And Geological Engineers, Including",158,71116.46
81,ENG,"Miscellaneous Engineers, Including Nuclear Engineers",1103,59607.52
82,ENG,Drafters,1257,37938.19
83,ENG,"Engineering Technicians, Except Drafters",5910,41156.5
84,ENG,Surveying And Mapping Technicians,1365,35128.1
85,SCI,Agricultural And Food Scientists,3,26666.67
86,SCI,Biological Scientists,5,49600.0
87,SCI,Conservation Scientists And Foresters,1,48000.0
88,SCI,"Medical Scientists, And Life Scientists, All Other",65,50998.46
89,SCI,Atmospheric And Space Scientists,24,42529.17
90,SCI,Chemists And Materials Scientists,75,79666.67
91,SCI,Environmental Scientists And Geoscientists,5,39980.0
92,SCI,"Physical Scientists, All Other",8,64800.0
93,SCI,Economists,4,44500.0
94,SCI,Psychologists,11,37636.36
95,SCI,Urban And Regional Planners,35,29235.43
96,SCI,"Miscellaneous Social Scientists, Including Survey",126,27365.87
97,SCI,Agricultural And Food Science Technicians,667,32407.47
98,SCI,Biological Technicians,331,29058.61
99,SCI,Chemical Technicians,1108,38863.02
100,SCI,"Geological And Petroleum Technicians, And Nuclear",319,56056.46
101,SCI,"Miscellaneous Life, Physical, And Social Science",2489,26572.42
102,CMS,Counselors,3780,17789.11
103,CMS,Social Workers,3295,26785.88
104,CMS,Probation Officers And Correctional Treatment,343,32575.22
105,CMS,Social And Human Service Assistants,2123,21525.35
106,CMS,"Miscellaneous Community And Social Service Specialists,",949,22502.92
107,CMS,Clergy,2335,25032.69
108,CMS,"Directors, Religious Activities And Education",501,22198.34
109,CMS,"Religious Workers, All Other",865,13296.79
